Update,Time,Sportsbook,Type,Pittsburgh Steelers,Indianapolis Colts
0,2023-12-12 11:44:09-05:00,draftkings,h2h,2.14,1.74
0,2023-12-12 11:44:33-05:00,fanduel,h2h,2.2,1.7000000000000002
0,2023-12-12 11:44:28-05:00,mybookieag,h2h,2.3,1.67
0,2023-12-12 11:43:01-05:00,williamhill_us,h2h,2.18,1.71
0,2023-12-12 11:44:28-05:00,sisportsbook,h2h,2.2,1.7000000000000002
0,2023-12-12 11:44:46-05:00,superbook,h2h,2.2,1.71
0,2023-12-12 11:44:45-05:00,betonlineag,h2h,2.25,1.69
0,2023-12-12 11:44:41-05:00,tipico_us,h2h,2.25,1.69
0,2023-12-12 11:44:41-05:00,betus,h2h,2.25,1.69
0,2023-12-12 11:43:21-05:00,bovada,h2h,2.25,1.69
0,2023-12-12 11:44:30-05:00,pointsbetus,h2h,2.25,1.67
0,2023-12-12 11:44:48-05:00,betrivers,h2h,2.25,1.6600000000000001
0,2023-12-12 11:44:28-05:00,unibet_us,h2h,2.25,1.6600000000000001
0,2023-12-12 11:44:30-05:00,betparx,h2h,2.25,1.6600000000000001
0,2023-12-12 11:44:09-05:00,fliff,h2h,2.1,1.65
0,2023-12-12 11:43:27-05:00,lowvig,h2h,2.25,1.69
0,2023-12-12 11:43:37-05:00,windcreek,h2h,2.25,1.69
0,2023-12-12 11:44:46-05:00,espnbet,h2h,2.1,1.77
0,2023-12-12 11:43:55-05:00,betmgm,h2h,2.2,1.69
0,2023-12-12 11:44:45-05:00,wynnbet,h2h,2.2800000000000002,1.67
1,2023-12-12 11:44:09-05:00,draftkings,h2h,2.14,1.74
1,2023-12-12 11:44:33-05:00,fanduel,h2h,2.2,1.7000000000000002
1,2023-12-12 11:44:28-05:00,mybookieag,h2h,2.3,1.67
1,2023-12-12 11:43:01-05:00,williamhill_us,h2h,2.18,1.71
1,2023-12-12 11:44:28-05:00,sisportsbook,h2h,2.2,1.7000000000000002
1,2023-12-12 11:44:46-05:00,superbook,h2h,2.2,1.71
1,2023-12-12 11:44:45-05:00,betonlineag,h2h,2.25,1.69
1,2023-12-12 11:44:41-05:00,tipico_us,h2h,2.25,1.69
1,2023-12-12 11:44:41-05:00,betus,h2h,2.25,1.69
1,2023-12-12 11:43:21-05:00,bovada,h2h,2.25,1.69
1,2023-12-12 11:44:30-05:00,pointsbetus,h2h,2.25,1.67
1,2023-12-12 11:44:48-05:00,betrivers,h2h,2.25,1.6600000000000001
1,2023-12-12 11:44:28-05:00,unibet_us,h2h,2.25,1.6600000000000001
1,2023-12-12 11:44:30-05:00,betparx,h2h,2.25,1.6600000000000001
1,2023-12-12 11:44:09-05:00,fliff,h2h,2.1,1.65
1,2023-12-12 11:43:27-05:00,lowvig,h2h,2.25,1.69
1,2023-12-12 11:43:37-05:00,windcreek,h2h,2.25,1.69
1,2023-12-12 11:44:46-05:00,espnbet,h2h,2.1,1.77
1,2023-12-12 11:43:55-05:00,betmgm,h2h,2.2,1.69
1,2023-12-12 11:44:45-05:00,wynnbet,h2h,2.2800000000000002,1.67
2,2023-12-12 11:44:09-05:00,draftkings,h2h,2.14,1.74
2,2023-12-12 11:44:33-05:00,fanduel,h2h,2.2,1.7000000000000002
2,2023-12-12 11:44:28-05:00,mybookieag,h2h,2.3,1.67
2,2023-12-12 11:43:01-05:00,williamhill_us,h2h,2.18,1.71
2,2023-12-12 11:44:28-05:00,sisportsbook,h2h,2.2,1.7000000000000002
2,2023-12-12 11:44:46-05:00,superbook,h2h,2.2,1.71
2,2023-12-12 11:44:45-05:00,betonlineag,h2h,2.25,1.69
2,2023-12-12 11:44:41-05:00,tipico_us,h2h,2.25,1.69
2,2023-12-12 11:44:41-05:00,betus,h2h,2.25,1.69
2,2023-12-12 11:43:21-05:00,bovada,h2h,2.25,1.69
2,2023-12-12 11:44:30-05:00,pointsbetus,h2h,2.25,1.67
2,2023-12-12 11:44:48-05:00,betrivers,h2h,2.25,1.6600000000000001
2,2023-12-12 11:44:28-05:00,unibet_us,h2h,2.25,1.6600000000000001
2,2023-12-12 11:44:30-05:00,betparx,h2h,2.25,1.6600000000000001
2,2023-12-12 11:44:09-05:00,fliff,h2h,2.1,1.65
2,2023-12-12 11:43:27-05:00,lowvig,h2h,2.25,1.69
2,2023-12-12 11:43:37-05:00,windcreek,h2h,2.25,1.69
2,2023-12-12 11:44:46-05:00,espnbet,h2h,2.1,1.77
2,2023-12-12 11:43:55-05:00,betmgm,h2h,2.2,1.69
2,2023-12-12 11:44:45-05:00,wynnbet,h2h,2.2800000000000002,1.67
